	away_score	home_score	advantage
stoke city	0.9333333333333333	1.1304347826086956	0.19710144927536222
stoke city 	0.8972332015810277	1.3397683397683398	0.44253513818731205
sunderland 	0.8875	1.2073170731707317	0.3198170731707317
sunderland a	1.0359712230215827	1.1884057971014492	0.1524345740798665
swansea city 	0.8837209302325582	1.3191489361702127	0.4354280059376545
swansea city a	1.0	1.4129032258064516	0.41290322580645156
tottenham hotspur	1.3125	1.451219512195122	0.1387195121951219
tottenham hotspur 	1.2900763358778626	1.9076923076923078	0.6176159718144452
tranmere rovers	0.4	1.75	1.35
tranmere rovers 	0.7777777777777778	1.2105263157894737	0.4327485380116959
walsall	0.8461538461538461	1.1428571428571428	0.29670329670329665
walsall 	0.8928571428571429	1.3818181818181818	0.48896103896103893
watford	1.4320987654320987	1.654320987654321	0.22222222222222232
watford 	1.1987381703470033	1.4889589905362777	0.2902208201892744
west bromwich albion	0.8875	1.5	0.6125
west bromwich albion 	1.083916083916084	1.4577464788732395	0.37383039495715553
west ham united	1.1625	1.3780487804878048	0.21554878048780468
west ham united 	1.072992700729927	1.4669117647058822	0.39391906397595533
wigan athletic	1.105263157894737	1.2833333333333334	0.1780701754385965
wigan athletic 	1.0476190476190477	1.1352657004830917	0.08764665286404405
wimbledon	1.3157894736842106	1.411764705882353	0.09597523219814241
wimbledon 	1.4109589041095891	1.32	-0.09095890410958907
wolverhampton wanderers	1.2236842105263157	1.4025974025974026	0.1789131920710869
wolverhampton wanderers 	1.2307692307692308	1.3993288590604027	0.16855962829117188
yeovil town	0.8	0.0	-0.8
yeovil town 	1.1666666666666667	1.0	-0.16666666666666674
