	Team 1	Team 2	Home_team_score	Away_team_score
5245	AFC Bournemouth (	Bolton Wanderers FC (	3	0
5246	Rotherham United FC (	Reading FC (	2	1
5247	Blackburn Rovers FC (	Ipswich Town FC (	3	2
5248	Blackpool FC (	Huddersfield Town AFC (	0	0
5249	Bolton Wanderers FC (	Birmingham City FC (	0	1
5250	Brentford FC (	Wigan Athletic FC (	3	0
5251	Charlton Athletic FC (	AFC Bournemouth (	0	3
5252	Derby County FC (	Reading FC (	0	3
5253	Leeds United FC (	Rotherham United FC (	0	0
5254	Middlesbrough FC (	Brighton & Hove Albion FC (	0	0
5255	Norwich City FC (	Fulham FC (	4	2
5256	Nottingham Forest FC (	Cardiff City FC (	1	2
5257	Watford FC (	Sheffield Wednesday FC (	1	1
5258	Wolverhampton Wanderers FC (	Millwall FC (	4	2
5259	Tea	Tea	F	T
5260	Brighton & Hove Albion FC 	Nottingham Forest FC 	1	0
5261	Birmingham City FC 	Reading FC 	2	1
5262	Blackburn Rovers FC 	Wolverhampton Wanderers FC 	1	2
5263	Bolton Wanderers FC 	Derby County FC 	0	0
5264	Brentford FC 	Ipswich Town FC 	2	2
5265	Cardiff City FC 	Fulham FC 	1	1
5266	Charlton Athletic FC 	Queens Park Rangers FC 	2	0
5267	Hull City AFC 	Huddersfield Town AFC 	2	0
5268	Leeds United FC 	Burnley FC 	1	1
5269	Rotherham United FC 	Milton Keynes Dons FC 	1	4
5270	Sheffield Wednesday FC 	Bristol City FC 	2	0
5271	Preston North End FC 	Middlesbrough FC 	0	0
5272	Bristol City FC 	Brentford FC 	2	4
5273	Burnley FC 	Birmingham City FC 	2	2
5274	Derby County FC 	Charlton Athletic FC 	1	1
5275	Fulham FC 	Brighton & Hove Albion FC 	1	2
5276	Huddersfield Town AFC 	Blackburn Rovers FC 	1	1
5277	Ipswich Town FC 	Sheffield Wednesday FC 	2	1
5278	Middlesbrough FC 	Bolton Wanderers FC 	3	0
5279	Milton Keynes Dons FC 	Preston North End FC 	0	1
5280	Nottingham Forest FC 	Rotherham United FC 	2	1
5281	Queens Park Rangers FC 	Cardiff City FC 	2	2
5282	Reading FC 	Leeds United FC 	0	0
5283	Wolverhampton Wanderers FC 	Hull City AFC 	1	1
5284	Blackburn Rovers FC 	Cardiff City FC 	1	1
5285	Derby County FC 	Middlesbrough FC 	1	1
5286	Huddersfield Town AFC 	Brighton & Hove Albion FC 	1	1
5287	Ipswich Town FC 	Burnley FC 	2	0
5288	Milton Keynes Dons FC 	Bolton Wanderers FC 	1	0
5289	Nottingham Forest FC 	Charlton Athletic FC 	0	0
5290	Rotherham United FC 	Preston North End FC 	0	0
5291	Bristol City FC 	Leeds United FC 	2	2
5292	Hull City AFC 	Fulham FC 	2	1
5293	Sheffield Wednesday FC 	Reading FC 	1	1
5294	Wolverhampton Wanderers FC 	Queens Park Rangers FC 	2	3
5295	Birmingham City FC 	Derby County FC 	1	1
5296	Bolton Wanderers FC 	Nottingham Forest FC 	1	1
5297	Brighton & Hove Albion FC 	Blackburn Rovers FC 	1	0
5298	Burnley FC 	Brentford FC 	1	0
5299	Cardiff City FC 	Wolverhampton Wanderers FC 	2	0
5300	Charlton Athletic FC 	Hull City AFC 	2	1
5301	Fulham FC 	Huddersfield Town AFC 	1	1
5302	Leeds United FC 	Sheffield Wednesday FC 	1	1
5303	Middlesbrough FC 	Bristol City FC 	0	1
5304	Preston North End FC 	Ipswich Town FC 	1	2
5305	Queens Park Rangers FC 	Rotherham United FC 	4	2
5306	Reading FC 	Milton Keynes Dons FC 	0	0
5307	Blackburn Rovers FC 	Bolton Wanderers FC 	0	0
5308	Brentford FC 	Reading FC 	1	3
5309	Bristol City FC 	Burnley FC 	1	2
5310	Derby County FC 	Leeds United FC 	1	2
5311	Huddersfield Town AFC 	Queens Park Rangers FC 	0	1
5312	Hull City AFC 	Preston North End FC 	2	0
5313	Ipswich Town FC 	Brighton & Hove Albion FC 	2	3
5314	Milton Keynes Dons FC 	Birmingham City FC 	0	2
5315	Nottingham Forest FC 	Cardiff City FC 	1	2
5316	Rotherham United FC 	Fulham FC 	1	3
5317	Sheffield Wednesday FC 	Middlesbrough FC 	1	3
5318	Wolverhampton Wanderers FC 	Charlton Athletic FC 	2	1
5319	Reading FC 	Ipswich Town FC 	5	1
5320	Birmingham City FC 	Bristol City FC 	4	2
5321	Bolton Wanderers FC 	Wolverhampton Wanderers FC 	2	1
5322	Brighton & Hove Albion FC 	Hull City AFC 	1	0
5323	Burnley FC 	Sheffield Wednesday FC 	3	1
5324	Cardiff City FC 	Huddersfield Town AFC 	2	0
5325	Charlton Athletic FC 	Rotherham United FC 	1	1
5326	Leeds United FC 	Brentford FC 	1	1
5327	Middlesbrough FC 	Milton Keynes Dons FC 	2	0
5328	Preston North End FC 	Derby County FC 	1	2
5329	Queens Park Rangers FC 	Nottingham Forest FC 	1	2
5330	Fulham FC 	Blackburn Rovers FC 	2	1
5331	Birmingham City FC 	Nottingham Forest FC 	0	1
5332	Bolton Wanderers FC 	Sheffield Wednesday FC 	0	0
5333	Brighton & Hove Albion FC 	Rotherham United FC 	2	1
5334	Burnley FC 	Milton Keynes Dons FC 	2	1
5335	Cardiff City FC 	Hull City AFC 	0	2
5336	Charlton Athletic FC 	Huddersfield Town AFC 	1	2
5337	Leeds United FC 	Ipswich Town FC 	0	1
5338	Middlesbrough FC 	Brentford FC 	3	1
5339	Preston North End FC 	Bristol City FC 	1	1
5340	Reading FC 	Derby County FC 	0	1
5341	Queens Park Rangers FC 	Blackburn Rovers FC 	2	2
5342	Ipswich Town FC 	Birmingham City FC 	1	1
5343	Blackburn Rovers FC 	Charlton Athletic FC 	3	0
5344	Brentford FC 	Preston North End FC 	2	1
5345	Bristol City FC 	Reading FC 	0	2
5346	Huddersfield Town AFC 	Bolton Wanderers FC 	4	1
5347	Hull City AFC 	Queens Park Rangers FC 	1	1
5348	Milton Keynes Dons FC 	Leeds United FC 	1	2
5349	Nottingham Forest FC 	Middlesbrough FC 	1	2
5350	Rotherham United FC 	Cardiff City FC 	2	1
5351	Sheffield Wednesday FC 	Fulham FC 	3	2
5352	Wolverhampton Wanderers FC 	Brighton & Hove Albion FC 	0	0
5353	Derby County FC 	Burnley FC 	0	0
5354	Huddersfield Town AFC 	Nottingham Forest FC 	1	1
5355	Fulham FC 	Queens Park Rangers FC 	4	0
5356	Birmingham City FC 	Rotherham United FC 	0	2
5357	Bolton Wanderers FC 	Brighton & Hove Albion FC 	2	2
5358	Brentford FC 	Sheffield Wednesday FC 	1	2
5359	Burnley FC 	Reading FC 	1	2
5360	Cardiff City FC 	Charlton Athletic FC 	2	1
5361	Hull City AFC 	Blackburn Rovers FC 	1	1
5362	Ipswich Town FC 	Bristol City FC 	2	2
5363	Milton Keynes Dons FC 	Derby County FC 	1	3
5364	Preston North End FC 	Wolverhampton Wanderers FC 	1	1
5365	Middlesbrough FC 	Leeds United FC 	3	0
5366	Brentford FC 	Birmingham City FC 	0	2
5367	Fulham FC 	Wolverhampton Wanderers FC 	0	3
5368	Rotherham United FC (	Burnley FC (	1	2
5369	Blackburn Rovers FC (	Ipswich Town FC (	2	0
5370	Brighton & Hove Albion FC (	Cardiff City FC (	1	1
5371	Bristol City FC (	Milton Keynes Dons FC (	1	1
5372	Derby County FC (	Brentford FC (	2	0
5373	Leeds United FC (	Birmingham City FC (	0	2
5374	Nottingham Forest FC (	Hull City AFC (	0	1
5375	Queens Park Rangers FC (	Bolton Wanderers FC (	4	3
5376	Reading FC (	Middlesbrough FC (	2	0
5377	Sheffield Wednesday FC (	Preston North End FC (	3	1
5378	Wolverhampton Wanderers FC (	Huddersfield Town AFC (	3	0
5379	Charlton Athletic FC (	Fulham FC (	2	2
5380	Bristol City FC (	Nottingham Forest FC (	2	0
5381	Birmingham City FC (	Queens Park Rangers FC (	2	1
5382	Brentford FC (	Rotherham United FC (	2	1
5383	Burnley FC (	Bolton Wanderers FC (	2	0
5384	Ipswich Town FC (	Huddersfield Town AFC (	0	0
5385	Leeds United FC (	Brighton & Hove Albion FC (	1	2
5386	Middlesbrough FC (	Fulham FC (	0	0
5387	Milton Keynes Dons FC (	Blackburn Rovers FC (	3	0
5388	Preston North End FC (	Cardiff City FC (	0	0
5389	Reading FC (	Charlton Athletic FC (	1	0
5390	Sheffield Wednesday FC (	Hull City AFC (	1	1
5391	Derby County FC (	Wolverhampton Wanderers FC (	4	2
5392	Bolton Wanderers FC (	Birmingham City FC (	0	1
5393	Brighton & Hove Albion FC (	Bristol City FC (	2	1
5394	Cardiff City FC (	Middlesbrough FC (	1	0
5395	Charlton Athletic FC (	Preston North End FC (	0	3
5396	Huddersfield Town AFC (	Milton Keynes Dons FC (	2	0
5397	Hull City AFC (	Ipswich Town FC (	3	0
5398	Nottingham Forest FC (	Burnley FC (	1	1
5399	Queens Park Rangers FC (	Sheffield Wednesday FC (	0	0
5400	Rotherham United FC (	Reading FC (	1	1
5401	Blackburn Rovers FC (	Derby County FC (	0	0
5402	Fulham FC (	Leeds United FC (	1	1
5403	Wolverhampton Wanderers FC (	Brentford FC (	0	2
5404	Rotherham United FC (	Sheffield Wednesday FC (	1	2
5405	Blackburn Rovers FC (	Burnley FC (	0	1
5406	Bolton Wanderers FC (	Leeds United FC (	1	1
5407	Brighton & Hove Albion FC (	Preston North End FC (	0	0
5408	Charlton Athletic FC (	Brentford FC (	0	3
5409	Fulham FC (	Reading FC (	4	2
5410	Huddersfield Town AFC (	Derby County FC (	1	2
5411	Hull City AFC (	Birmingham City FC (	2	0
5412	Nottingham Forest FC (	Ipswich Town FC (	1	1
5413	Queens Park Rangers FC (	Milton Keynes Dons FC (	3	0
5414	Wolverhampton Wanderers FC (	Middlesbrough FC (	1	3
5415	Cardiff City FC (	Bristol City FC (	0	0
5416	Leeds United FC (	Blackburn Rovers FC (	0	2
5417	Brentford FC (	Queens Park Rangers FC (	1	0
5418	Birmingham City FC (	Wolverhampton Wanderers FC (	0	2
5419	Bristol City FC (	Fulham FC (	1	4
5420	Burnley FC (	Huddersfield Town AFC (	2	1
5421	Derby County FC (	Rotherham United FC (	3	0
5422	Ipswich Town FC (	Cardiff City FC (	0	0
5423	Middlesbrough FC (	Charlton Athletic FC (	3	0
5424	Milton Keynes Dons FC (	Hull City AFC (	0	2
5425	Preston North End FC (	Bolton Wanderers FC (	0	0
5426	Reading FC (	Brighton & Hove Albion FC (	1	1
5427	Sheffield Wednesday FC (	Nottingham Forest FC (	1	0
5428	Birmingham City FC (	Blackburn Rovers FC (	0	0
5429	Brentford FC (	Hull City AFC (	0	2
5430	Bristol City FC (	Wolverhampton Wanderers FC (	1	0
5431	Burnley FC (	Fulham FC (	3	1
5432	Derby County FC (	Queens Park Rangers FC (	1	0
5433	Ipswich Town FC (	Bolton Wanderers FC (	2	0
5434	Leeds United FC (	Cardiff City FC (	1	0
5435	Middlesbrough FC (	Rotherham United FC (	1	0
5436	Milton Keynes Dons FC (	Charlton Athletic FC (	1	0
5437	Preston North End FC (	Nottingham Forest FC (	1	0
5438	Reading FC (	Huddersfield Town AFC (	2	2
5439	Sheffield Wednesday FC (	Brighton & Hove Albion FC (	0	0
5440	Nottingham Forest FC (	Derby County FC (	1	0
5441	Blackburn Rovers FC (	Brentford FC (	1	1
5442	Bolton Wanderers FC (	Bristol City FC (	0	0
5443	Brighton & Hove Albion FC (	Milton Keynes Dons FC (	2	1
5444	Cardiff City FC (	Reading FC (	2	0
5445	Charlton Athletic FC (	Sheffield Wednesday FC (	3	1
5446	Fulham FC (	Birmingham City FC (	2	5
5447	Huddersfield Town AFC (	Leeds United FC (	0	3
5448	Hull City AFC (	Middlesbrough FC (	3	0
5449	Queens Park Rangers FC (	Preston North End FC (	0	0
5450	Rotherham United FC (	Ipswich Town FC (	2	5
5451	Wolverhampton Wanderers FC (	Burnley FC (	0	0
5452	Middlesbrough FC (	Queens Park Rangers FC (	1	0
5453	Birmingham City FC (	Charlton Athletic FC (	0	1
5454	Brentford FC (	Nottingham Forest FC (	2	1
5455	Bristol City FC (	Hull City AFC (	1	1
5456	Derby County FC (	Cardiff City FC (	2	0
5457	Ipswich Town FC (	Wolverhampton Wanderers FC (	2	2
5458	Leeds United FC (	Rotherham United FC (	0	1
5459	Milton Keynes Dons FC (	Fulham FC (	1	1
5460	Preston North End FC (	Blackburn Rovers FC (	1	2
5461	Reading FC (	Bolton Wanderers FC (	2	1
5462	Sheffield Wednesday FC (	Huddersfield Town AFC (	3	1
5463	Burnley FC (	Brighton & Hove Albion FC (	1	1
5464	Hull City AFC (	Derby County FC (	0	2
5465	Blackburn Rovers FC (	Sheffield Wednesday FC (	2	2
5466	Brighton & Hove Albion FC (	Birmingham City FC (	2	1
5467	Cardiff City FC (	Burnley FC (	2	2
5468	Charlton Athletic FC (	Ipswich Town FC (	0	3
5469	Fulham FC (	Preston North End FC (	1	1
5470	Huddersfield Town AFC (	Middlesbrough FC (	0	2
5471	Nottingham Forest FC (	Reading FC (	3	1
5472	Queens Park Rangers FC (	Leeds United FC (	1	0
5473	Rotherham United FC (	Bristol City FC (	3	0
5474	Wolverhampton Wanderers FC (	Milton Keynes Dons FC (	0	0
5475	Bolton Wanderers FC (	Brentford FC (	1	1
5476	Reading FC (	Queens Park Rangers FC (	0	1
5477	Ipswich Town FC (	Middlesbrough FC (	0	2
5478	Birmingham City FC (	Huddersfield Town AFC (	0	2
5479	Bolton Wanderers FC (	Cardiff City FC (	2	3
5480	Brentford FC (	Milton Keynes Dons FC (	2	0
5481	Brighton & Hove Albion FC (	Charlton Athletic FC (	3	2
5482	Bristol City FC (	Blackburn Rovers FC (	0	2
5483	Burnley FC (	Preston North End FC (	0	2
5484	Leeds United FC (	Hull City AFC (	2	1
5485	Nottingham Forest FC (	Fulham FC (	3	0
5486	Rotherham United FC (	Wolverhampton Wanderers FC (	1	2
5487	Sheffield Wednesday FC (	Derby County FC (	0	0
5488	Blackburn Rovers FC (	Rotherham United FC (	1	0
5489	Wolverhampton Wanderers FC (	Nottingham Forest FC (	1	1
5490	Cardiff City FC (	Sheffield Wednesday FC (	2	2
5491	Charlton Athletic FC (	Leeds United FC (	0	0
5492	Derby County FC (	Brighton & Hove Albion FC (	2	2
5493	Fulham FC (	Brentford FC (	2	2
5494	Huddersfield Town AFC (	Bristol City FC (	1	2
5495	Hull City AFC (	Bolton Wanderers FC (	1	0
5496	Middlesbrough FC (	Birmingham City FC (	0	0
5497	Milton Keynes Dons FC (	Ipswich Town FC (	0	1
5498	Preston North End FC (	Reading FC (	1	0
5499	Queens Park Rangers FC (	Burnley FC (	0	0
5500	Blackburn Rovers FC (	Nottingham Forest FC (	0	0
5501	Cardiff City FC (	Brentford FC (	3	2
5502	Charlton Athletic FC (	Bolton Wanderers FC (	2	2
5503	Derby County FC (	Bristol City FC (	4	0
5504	Fulham FC (	Ipswich Town FC (	1	2
5505	Huddersfield Town AFC (	Rotherham United FC (	2	0
5506	Middlesbrough FC (	Burnley FC (	1	0
5507	Milton Keynes Dons FC (	Sheffield Wednesday FC (	2	1
5508	Preston North End FC (	Birmingham City FC (	1	1
5509	Queens Park Rangers FC (	Brighton & Hove Albion FC (	2	2
5510	Hull City AFC (	Reading FC (	2	1
5511	Wolverhampton Wanderers FC (	Leeds United FC (	2	3
5512	Birmingham City FC (	Cardiff City FC (	1	0
5513	Bolton Wanderers FC (	Fulham FC (	2	2
5514	Brentford FC (	Huddersfield Town AFC (	4	2
5515	Brighton & Hove Albion FC (	Middlesbrough FC (	0	3
5516	Bristol City FC (	Queens Park Rangers FC (	1	1
5517	Burnley FC (	Charlton Athletic FC (	4	0
5518	Ipswich Town FC (	Derby County FC (	0	1
5519	Nottingham Forest FC (	Milton Keynes Dons FC (	2	1
5520	Rotherham United FC (	Hull City AFC (	2	0
5521	Leeds United FC (	Preston North End FC (	1	0
5522	Reading FC (	Blackburn Rovers FC (	1	0
5523	Sheffield Wednesday FC (	Wolverhampton Wanderers FC (	4	1
5524	Brentford FC (	Brighton & Hove Albion FC (	0	0
5525	Bristol City FC (	Charlton Athletic FC (	1	1
5526	Derby County FC (	Fulham FC (	2	0
5527	Huddersfield Town AFC (	Preston North End FC (	3	1
5528	Hull City AFC (	Burnley FC (	3	0
5529	Ipswich Town FC (	Queens Park Rangers FC (	2	1
5530	Milton Keynes Dons FC (	Cardiff City FC (	2	1
5531	Rotherham United FC (	Bolton Wanderers FC (	4	0
5532	Sheffield Wednesday FC (	Birmingham City FC (	3	0
5533	Wolverhampton Wanderers FC (	Reading FC (	1	0
5534	Nottingham Forest FC (	Leeds United FC (	1	1
5535	Birmingham City FC (	Milton Keynes Dons FC (	1	0
5536	Bolton Wanderers FC (	Blackburn Rovers FC (	1	0
5537	Burnley FC (	Bristol City FC (	4	0
5538	Charlton Athletic FC (	Wolverhampton Wanderers FC (	0	2
5539	Middlesbrough FC (	Sheffield Wednesday FC (	1	0
5540	Preston North End FC (	Hull City AFC (	1	0
5541	Queens Park Rangers FC (	Huddersfield Town AFC (	1	1
5542	Reading FC (	Brentford FC (	1	2
5543	Brighton & Hove Albion FC (	Ipswich Town FC (	0	1
5544	Cardiff City FC (	Nottingham Forest FC (	1	1
5545	Fulham FC (	Rotherham United FC (	4	1
5546	Leeds United FC (	Derby County FC (	2	2
5547	Brighton & Hove Albion FC (	Wolverhampton Wanderers FC (	0	1
5548	Queens Park Rangers FC (	Hull City AFC (	1	2
5549	Birmingham City FC (	Brentford FC (	2	1
5550	Bolton Wanderers FC (	Huddersfield Town AFC (	0	2
5551	Burnley FC (	Ipswich Town FC (	0	0
5552	Cardiff City FC (	Blackburn Rovers FC (	1	0
5553	Charlton Athletic FC (	Nottingham Forest FC (	1	1
5554	Fulham FC (	Sheffield Wednesday FC (	0	1
5555	Leeds United FC (	Milton Keynes Dons FC (	1	1
5556	Middlesbrough FC (	Derby County FC (	2	0
5557	Preston North End FC (	Rotherham United FC (	2	1
5558	Reading FC (	Bristol City FC (	1	0
5559	Blackburn Rovers FC (	Queens Park Rangers FC (	1	1
5560	Brentford FC (	Middlesbrough FC (	0	1
5561	Bristol City FC (	Preston North End FC (	1	2
5562	Derby County FC (	Reading FC (	1	1
5563	Huddersfield Town AFC (	Charlton Athletic FC (	5	0
5564	Ipswich Town FC (	Leeds United FC (	2	1
5565	Milton Keynes Dons FC (	Burnley FC (	0	5
5566	Nottingham Forest FC (	Birmingham City FC (	1	1
5567	Rotherham United FC (	Brighton & Hove Albion FC (	2	0
5568	Sheffield Wednesday FC (	Bolton Wanderers FC (	3	2
5569	Wolverhampton Wanderers FC (	Fulham FC (	3	2
5570	Hull City AFC (	Cardiff City FC (	2	0
5571	Brentford FC (	Burnley FC (	1	3
5572	Blackburn Rovers FC (	Brighton & Hove Albion FC (	0	1
5573	Bristol City FC (	Middlesbrough FC (	1	0
5574	Derby County FC (	Birmingham City FC (	0	3
5575	Huddersfield Town AFC (	Fulham FC (	1	1
5576	Hull City AFC (	Charlton Athletic FC (	6	0
5577	Ipswich Town FC (	Preston North End FC (	1	1
5578	Milton Keynes Dons FC (	Reading FC (	1	0
5579	Nottingham Forest FC (	Bolton Wanderers FC (	3	0
5580	Rotherham United FC (	Queens Park Rangers FC (	0	3
5581	Sheffield Wednesday FC (	Leeds United FC (	2	0
5582	Wolverhampton Wanderers FC (	Cardiff City FC (	1	3
5583	Birmingham City FC (	Ipswich Town FC (	3	0
5584	Bolton Wanderers FC (	Milton Keynes Dons FC (	3	1
5585	Brighton & Hove Albion FC (	Huddersfield Town AFC (	2	1
5586	Cardiff City FC (	Rotherham United FC (	2	2
5587	Charlton Athletic FC (	Blackburn Rovers FC (	1	1
5588	Fulham FC (	Hull City AFC (	0	1
5589	Leeds United FC (	Bristol City FC (	1	0
5590	Middlesbrough FC (	Nottingham Forest FC (	0	1
5591	Preston North End FC (	Brentford FC (	1	3
5592	Queens Park Rangers FC (	Wolverhampton Wanderers FC (	1	1
5593	Reading FC (	Sheffield Wednesday FC (	1	1
5594	Burnley FC (	Derby County FC (	4	1
5595	Brentford FC (	Leeds United FC (	1	1
5596	Nottingham Forest FC (	Queens Park Rangers FC (	0	0
5597	Bristol City FC (	Birmingham City FC (	0	0
5598	Huddersfield Town AFC (	Cardiff City FC (	2	3
5599	Rotherham United FC (	Charlton Athletic FC (	1	4
5600	Derby County FC (	Preston North End FC (	0	0
5601	Ipswich Town FC (	Reading FC (	2	1
5602	Sheffield Wednesday FC (	Burnley FC (	1	1
5603	Wolverhampton Wanderers FC (	Bolton Wanderers FC (	2	2
5604	Brighton & Hove Albion FC (	Brentford FC (	3	0
5605	Birmingham City FC (	Sheffield Wednesday FC (	1	2
5606	Bolton Wanderers FC (	Rotherham United FC (	2	1
5607	Burnley FC (	Hull City AFC (	1	0
5608	Cardiff City FC (	Milton Keynes Dons FC (	0	0
5609	Charlton Athletic FC (	Bristol City FC (	0	1
5610	Fulham FC (	Derby County FC (	1	1
5611	Leeds United FC (	Nottingham Forest FC (	0	1
5612	Middlesbrough FC (	Blackburn Rovers FC (	1	1
5613	Preston North End FC (	Huddersfield Town AFC (	2	1
5614	Queens Park Rangers FC (	Ipswich Town FC (	1	0
5615	Reading FC (	Wolverhampton Wanderers FC (	0	0
5616	Milton Keynes Dons FC (	Middlesbrough FC (	1	1
5617	Blackburn Rovers FC (	Hull City AFC (	0	2
5618	Brighton & Hove Albion FC (	Bolton Wanderers FC (	3	2
5619	Bristol City FC (	Ipswich Town FC (	2	1
5620	Charlton Athletic FC (	Cardiff City FC (	0	0
5621	Derby County FC (	Milton Keynes Dons FC (	0	1
5622	Nottingham Forest FC (	Huddersfield Town AFC (	0	2
5623	Queens Park Rangers FC (	Fulham FC (	1	3
5624	Reading FC (	Burnley FC (	0	0
5625	Rotherham United FC (	Birmingham City FC (	0	0
5626	Sheffield Wednesday FC (	Brentford FC (	4	0
5627	Wolverhampton Wanderers FC (	Preston North End FC (	1	2
5628	Leeds United FC (	Middlesbrough FC (	0	0
5629	Blackburn Rovers FC (	Fulham FC (	3	0
5630	Hull City AFC (	Brighton & Hove Albion FC (	0	0
5631	Bolton Wanderers FC (	Queens Park Rangers FC (	1	1
5632	Brentford FC (	Derby County FC (	1	3
5633	Burnley FC (	Rotherham United FC (	2	0
5634	Cardiff City FC (	Brighton & Hove Albion FC (	4	1
5635	Fulham FC (	Charlton Athletic FC (	3	0
5636	Huddersfield Town AFC (	Wolverhampton Wanderers FC (	1	0
5637	Milton Keynes Dons FC (	Bristol City FC (	0	2
5638	Preston North End FC (	Sheffield Wednesday FC (	1	0
5639	Birmingham City FC (	Bolton Wanderers FC (	1	0
5640	Brentford FC (	Wolverhampton Wanderers FC (	3	0
5641	Bristol City FC (	Brighton & Hove Albion FC (	0	4
5642	Burnley FC (	Nottingham Forest FC (	1	0
5643	Ipswich Town FC (	Hull City AFC (	0	1
5644	Leeds United FC (	Fulham FC (	1	1
5645	Middlesbrough FC (	Cardiff City FC (	3	1
5646	Milton Keynes Dons FC (	Huddersfield Town AFC (	1	1
5647	Preston North End FC (	Charlton Athletic FC (	2	1
5648	Reading FC (	Rotherham United FC (	1	0
5649	Sheffield Wednesday FC (	Queens Park Rangers FC (	1	1
5650	Derby County FC (	Blackburn Rovers FC (	1	0
5651	Hull City AFC (	Sheffield Wednesday FC (	0	0
5652	Blackburn Rovers FC (	Milton Keynes Dons FC (	3	2
5653	Bolton Wanderers FC (	Burnley FC (	1	2
5654	Cardiff City FC (	Preston North End FC (	2	1
5655	Charlton Athletic FC (	Reading FC (	3	4
5656	Fulham FC (	Middlesbrough FC (	0	2
5657	Huddersfield Town AFC (	Ipswich Town FC (	0	1
5658	Nottingham Forest FC (	Bristol City FC (	1	2
5659	Queens Park Rangers FC (	Birmingham City FC (	2	0
5660	Rotherham United FC (	Brentford FC (	2	1
5661	Wolverhampton Wanderers FC (	Derby County FC (	2	1
5662	Brighton & Hove Albion FC (	Leeds United FC (	4	0
5663	Blackburn Rovers FC (	Middlesbrough FC (	2	1
5664	Birmingham City FC (	Hull City AFC (	1	0
5665	Middlesbrough FC (	Wolverhampton Wanderers FC (	2	1
5666	Brentford FC (	Charlton Athletic FC (	1	2
5667	Bristol City FC (	Cardiff City FC (	0	2
5668	Burnley FC (	Blackburn Rovers FC (	1	0
5669	Derby County FC (	Huddersfield Town AFC (	2	0
5670	Ipswich Town FC (	Nottingham Forest FC (	1	0
5671	Leeds United FC (	Bolton Wanderers FC (	2	1
5672	Milton Keynes Dons FC (	Queens Park Rangers FC (	2	0
5673	Preston North End FC (	Brighton & Hove Albion FC (	0	0
5674	Reading FC (	Fulham FC (	2	2
5675	Sheffield Wednesday FC (	Rotherham United FC (	0	1
5676	Blackburn Rovers FC (	Birmingham City FC (	2	0
5677	Bolton Wanderers FC (	Ipswich Town FC (	2	2
5678	Brighton & Hove Albion FC (	Sheffield Wednesday FC (	0	0
5679	Cardiff City FC (	Leeds United FC (	0	2
5680	Charlton Athletic FC (	Milton Keynes Dons FC (	0	0
5681	Fulham FC (	Burnley FC (	2	3
5682	Huddersfield Town AFC (	Reading FC (	3	1
5683	Nottingham Forest FC (	Preston North End FC (	1	0
5684	Queens Park Rangers FC (	Derby County FC (	2	0
5685	Rotherham United FC (	Middlesbrough FC (	1	0
5686	Wolverhampton Wanderers FC (	Bristol City FC (	2	1
5687	Blackburn Rovers FC (	Leeds United FC (	1	2
5688	Bolton Wanderers FC (	Preston North End FC (	1	2
5689	Cardiff City FC (	Ipswich Town FC (	1	0
5690	Fulham FC (	Bristol City FC (	1	2
5691	Huddersfield Town AFC (	Burnley FC (	1	3
5692	Hull City AFC (	Milton Keynes Dons FC (	1	1
5693	Nottingham Forest FC (	Sheffield Wednesday FC (	0	3
5694	Queens Park Rangers FC (	Brentford FC (	3	0
5695	Rotherham United FC (	Derby County FC (	3	3
5696	Charlton Athletic FC (	Middlesbrough FC (	2	0
5697	Wolverhampton Wanderers FC (	Birmingham City FC (	0	0
5698	Brighton & Hove Albion FC (	Reading FC (	1	0
5699	Hull City AFC (	Nottingham Forest FC (	1	1
5700	Ipswich Town FC (	Blackburn Rovers FC (	2	0
5701	Middlesbrough FC (	Hull City AFC (	1	0
5702	Birmingham City FC (	Fulham FC (	1	1
5703	Brentford FC (	Blackburn Rovers FC (	0	1
5704	Bristol City FC (	Bolton Wanderers FC (	6	0
5705	Burnley FC (	Wolverhampton Wanderers FC (	1	1
5706	Derby County FC (	Nottingham Forest FC (	1	0
5707	Ipswich Town FC (	Rotherham United FC (	0	1
5708	Leeds United FC (	Huddersfield Town AFC (	1	4
5709	Milton Keynes Dons FC (	Brighton & Hove Albion FC (	1	2
5710	Preston North End FC (	Queens Park Rangers FC (	1	1
5711	Reading FC (	Cardiff City FC (	1	1
5712	Sheffield Wednesday FC (	Charlton Athletic FC (	3	0
5713	Queens Park Rangers FC (	Middlesbrough FC (	2	3
5714	Blackburn Rovers FC (	Preston North End FC (	1	2
5715	Bolton Wanderers FC (	Reading FC (	0	1
5716	Brighton & Hove Albion FC (	Burnley FC (	2	2
5717	Cardiff City FC (	Derby County FC (	2	1
5718	Charlton Athletic FC (	Birmingham City FC (	2	1
5719	Fulham FC (	Milton Keynes Dons FC (	2	1
5720	Huddersfield Town AFC (	Sheffield Wednesday FC (	0	1
5721	Hull City AFC (	Bristol City FC (	4	0
5722	Nottingham Forest FC (	Brentford FC (	0	3
5723	Rotherham United FC (	Leeds United FC (	2	1
5724	Wolverhampton Wanderers FC (	Ipswich Town FC (	0	0
5725	Birmingham City FC (	Brighton & Hove Albion FC (	1	2
5726	Brentford FC (	Bolton Wanderers FC (	3	1
5727	Bristol City FC (	Rotherham United FC (	1	1
5728	Burnley FC (	Cardiff City FC (	0	0
5729	Derby County FC (	Hull City AFC (	4	0
