	Team 1	Team 2	Home_team_score	Away_team_score
116	Wigan Athletic FC (	Blackburn Rovers FC (	3	3
117	Chelsea FC (	Liverpool FC (	1	2
118	Tottenham Hotspur FC (	Aston Villa FC (	2	0
119	Arsenal FC (	Fulham FC (	1	1
120	Bolton Wanderers FC (	Everton FC (	0	2
121	Chelsea FC (	Wolverhampton Wanderers FC (	3	0
122	Manchester United FC (	Newcastle United FC (	1	1
123	Norwich City FC (	Queens Park Rangers FC (	2	1
124	Stoke City FC (	Blackburn Rovers FC (	3	1
125	Sunderland AFC (	Wigan Athletic FC (	1	2
126	West Bromwich Albion FC (	Tottenham Hotspur FC (	1	3
127	Liverpool FC (	Manchester City FC (	1	1
128	Swansea City AFC (	Aston Villa FC (	0	0
129	Aston Villa FC (	Manchester United FC (	0	1
130	Blackburn Rovers FC (	Swansea City AFC (	4	2
131	Manchester City FC (	Norwich City FC (	5	1
132	Newcastle United FC (	Chelsea FC (	0	3
133	Queens Park Rangers FC (	West Bromwich Albion FC (	1	1
134	Tottenham Hotspur FC (	Bolton Wanderers FC (	3	0
135	Wigan Athletic FC (	Arsenal FC (	0	4
136	Everton FC (	Stoke City FC (	0	1
137	Wolverhampton Wanderers FC (	Sunderland AFC (	2	1
138	Fulham FC (	Liverpool FC (	1	0
139	Arsenal FC (	Everton FC (	1	0
140	Bolton Wanderers FC (	Aston Villa FC (	1	2
141	Liverpool FC (	Queens Park Rangers FC (	1	0
142	Manchester United FC (	Wolverhampton Wanderers FC (	4	1
143	Norwich City FC (	Newcastle United FC (	4	2
144	Swansea City AFC (	Fulham FC (	2	0
145	West Bromwich Albion FC (	Wigan Athletic FC (	1	2
146	Stoke City FC (	Tottenham Hotspur FC (	2	1
147	Sunderland AFC (	Blackburn Rovers FC (	2	1
148	Chelsea FC (	Manchester City FC (	2	1
149	Blackburn Rovers FC (	West Bromwich Albion FC (	1	2
150	Everton FC (	Norwich City FC (	1	1
151	Fulham FC (	Bolton Wanderers FC (	2	0
152	Newcastle United FC (	Swansea City AFC (	0	0
153	Wigan Athletic FC (	Chelsea FC (	1	1
154	Wolverhampton Wanderers FC (	Stoke City FC (	1	2
155	Aston Villa FC (	Liverpool FC (	0	2
156	Manchester City FC (	Arsenal FC (	1	0
157	Queens Park Rangers FC (	Manchester United FC (	0	2
158	Tottenham Hotspur FC (	Sunderland AFC (	1	0
159	Blackburn Rovers FC (	Bolton Wanderers FC (	1	2
160	Wolverhampton Wanderers FC (	Norwich City FC (	2	2
161	Aston Villa FC (	Arsenal FC (	1	2
162	Everton FC (	Swansea City AFC (	1	0
163	Fulham FC (	Manchester United FC (	0	5
164	Manchester City FC (	Stoke City FC (	3	0
165	Newcastle United FC (	West Bromwich Albion FC (	2	3
166	Queens Park Rangers FC (	Sunderland AFC (	2	3
167	Wigan Athletic FC (	Liverpool FC (	0	0
168	Tottenham Hotspur FC (	Chelsea FC (	1	1
169	Bolton Wanderers FC (	Newcastle United FC (	0	2
170	Chelsea FC (	Fulham FC (	1	1
171	Liverpool FC (	Blackburn Rovers FC (	1	1
172	Manchester United FC (	Wigan Athletic FC (	5	0
173	Stoke City FC (	Aston Villa FC (	0	0
174	Sunderland AFC (	Everton FC (	1	1
175	West Bromwich Albion FC (	Manchester City FC (	0	0
176	Arsenal FC (	Wolverhampton Wanderers FC (	1	1
177	Norwich City FC (	Tottenham Hotspur FC (	0	2
178	Swansea City AFC (	Queens Park Rangers FC (	1	1
179	Liverpool FC (	Newcastle United FC (	3	1
180	Arsenal FC (	Queens Park Rangers FC (	1	0
181	Bolton Wanderers FC (	Wolverhampton Wanderers FC (	1	1
182	Chelsea FC (	Aston Villa FC (	1	3
183	Manchester United FC (	Blackburn Rovers FC (	2	3
184	Norwich City FC (	Fulham FC (	1	1
185	Stoke City FC (	Wigan Athletic FC (	2	2
186	Swansea City AFC (	Tottenham Hotspur FC (	1	1
187	Sunderland AFC (	Manchester City FC (	1	0
188	West Bromwich Albion FC (	Everton FC (	0	1
189	Aston Villa FC (	Swansea City AFC (	0	2
190	Blackburn Rovers FC (	Stoke City FC (	1	2
191	Fulham FC (	Arsenal FC (	2	1
192	Queens Park Rangers FC (	Norwich City FC (	1	2
193	Wolverhampton Wanderers FC (	Chelsea FC (	1	2
194	Manchester City FC (	Liverpool FC (	3	0
195	Tottenham Hotspur FC (	West Bromwich Albion FC (	1	0
196	Wigan Athletic FC (	Sunderland AFC (	1	4
197	Everton FC (	Bolton Wanderers FC (	1	2
198	Newcastle United FC (	Manchester United FC (	3	0
199	Tottenham Hotspur FC (	Everton FC (	2	0
200	Aston Villa FC (	Everton FC (	1	1
201	Blackburn Rovers FC (	Fulham FC (	3	1
202	Chelsea FC (	Sunderland AFC (	1	0
203	Liverpool FC (	Stoke City FC (	0	0
204	Manchester United FC (	Bolton Wanderers FC (	3	0
205	Tottenham Hotspur FC (	Wolverhampton Wanderers FC (	1	1
206	West Bromwich Albion FC (	Norwich City FC (	1	2
207	Newcastle United FC (	Queens Park Rangers FC (	1	0
208	Swansea City AFC (	Arsenal FC (	3	2
209	Wigan Athletic FC (	Manchester City FC (	0	1
210	Bolton Wanderers FC (	Liverpool FC (	3	1
211	Everton FC (	Blackburn Rovers FC (	1	1
212	Fulham FC (	Newcastle United FC (	5	2
213	Norwich City FC (	Chelsea FC (	0	0
214	Queens Park Rangers FC (	Wigan Athletic FC (	3	1
215	Stoke City FC (	West Bromwich Albion FC (	1	2
216	Sunderland AFC (	Swansea City AFC (	2	0
217	Wolverhampton Wanderers FC (	Aston Villa FC (	2	3
218	Arsenal FC (	Manchester United FC (	1	2
219	Manchester City FC (	Tottenham Hotspur FC (	3	2
220	Everton FC (	Manchester City FC (	1	0
221	Manchester United FC (	Stoke City FC (	2	0
222	Swansea City AFC (	Chelsea FC (	1	1
223	Tottenham Hotspur FC (	Wigan Athletic FC (	3	1
224	Wolverhampton Wanderers FC (	Liverpool FC (	0	3
225	Aston Villa FC (	Queens Park Rangers FC (	2	2
226	Blackburn Rovers FC (	Newcastle United FC (	0	2
227	Bolton Wanderers FC (	Arsenal FC (	0	0
228	Fulham FC (	West Bromwich Albion FC (	1	1
229	Sunderland AFC (	Norwich City FC (	3	0
230	Arsenal FC (	Blackburn Rovers FC (	7	1
231	Manchester City FC (	Fulham FC (	3	0
232	Norwich City FC (	Bolton Wanderers FC (	2	0
233	Queens Park Rangers FC (	Wolverhampton Wanderers FC (	1	2
234	Stoke City FC (	Sunderland AFC (	0	1
235	West Bromwich Albion FC (	Swansea City AFC (	1	2
236	Wigan Athletic FC (	Everton FC (	1	1
237	Chelsea FC (	Manchester United FC (	3	3
238	Newcastle United FC (	Aston Villa FC (	2	1
239	Liverpool FC (	Tottenham Hotspur FC (	0	0
240	Blackburn Rovers FC (	Queens Park Rangers FC (	3	2
241	Bolton Wanderers FC (	Wigan Athletic FC (	1	2
242	Everton FC (	Chelsea FC (	2	0
243	Fulham FC (	Stoke City FC (	2	1
244	Manchester United FC (	Liverpool FC (	2	1
245	Sunderland AFC (	Arsenal FC (	1	2
246	Swansea City AFC (	Norwich City FC (	2	3
247	Tottenham Hotspur FC (	Newcastle United FC (	5	0
248	Aston Villa FC (	Manchester City FC (	0	1
249	Wolverhampton Wanderers FC (	West Bromwich Albion FC (	1	5
250	Chelsea FC (	Bolton Wanderers FC (	3	0
251	Manchester City FC (	Blackburn Rovers FC (	3	0
252	Newcastle United FC (	Wolverhampton Wanderers FC (	2	2
253	Queens Park Rangers FC (	Fulham FC (	0	1
254	West Bromwich Albion FC (	Sunderland AFC (	4	0
255	Wigan Athletic FC (	Aston Villa FC (	0	0
256	Arsenal FC (	Tottenham Hotspur FC (	5	2
257	Norwich City FC (	Manchester United FC (	1	2
258	Stoke City FC (	Swansea City AFC (	2	0
259	Blackburn Rovers FC (	Aston Villa FC (	1	1
